article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
31307-3,VELA,мужские,металл,ободковая,прямоугольные,,56.0,15.0,145.0,,,оптика,,L_L_S,
31316-4,VELA,мужские,металл,ободковая,прямоугольные,серебристый,57.0,18.0,145.0,,,оптика,прямоугольные_металл_серебристый,L_L_L,прямоугольные_металл_серебристый_L_L_L
31319-1,VELA,мужские,металл,ободковая,прямоугольные,,57.0,16.0,145.0,,,оптика,,L_L_M,
31319-4,VELA,мужские,металл,ободковая,прямоугольные,темно-серый,57.0,16.0,145.0,,,оптика,прямоугольные_металл_темно-серый,L_L_M,прямоугольные_металл_темно-серый_L_L_M
31325-4,VELA,мужские,металл,ободковая,прямоугольные,,54.0,19.0,145.0,,,оптика,,L_L_L,
31326-4,VELA,мужские,металл,ободковая,прямоугольные,,55.0,17.0,145.0,,,оптика,,L_L_M,
31328-3,VELA,мужские,металл,ободковая,прямоугольные,,55.0,18.0,145.0,,,оптика,,L_L_L,
31328-4,VELA,мужские,металл,ободковая,прямоугольные,,55.0,18.0,145.0,,,оптика,,L_L_L,
3146-1,ROLLES,женские,металл,ободковая,бабочка,,53.0,17.0,140.0,,,оптика,,M_L_M,
3146-GREY,CHARM,мужские,пластик,ободковая,квадратные,серый,50.0,20.0,140.0,,,оптика,квадратные_пластик_серый,M_M_L,квадратные_пластик_серый_M_M_L
315-00S,SWING,детские для девочек,пластик,ободковая,панто,,46.0,16.0,125.0,,,оптика,,S_S_M,
315-3,VERTIKAL,универсальные,пластик,ободковая,прямоугольные,черный,55.0,15.0,145.0,,,оптика,прямоугольные_пластик_черный,L_L_S,прямоугольные_пластик_черный_L_L_S
315-457,SWING,детские для мальчиков,пластик,ободковая,панто,,46.0,16.0,125.0,,,оптика,,S_S_M,
315-C1,BLANCIA,женские,титан,полуободковая,бабочка,золотой,51.0,19.0,138.0,,,оптика,бабочка_титан_золотой,M_M_L,бабочка_титан_золотой_M_M_L
315-C2,BLANCIA,женские,титан,полуободковая,бабочка,розовый,51.0,19.0,138.0,,,оптика,бабочка_титан_розовый,M_M_L,бабочка_титан_розовый_M_M_L
