article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
629-300Y,FURLA,женские,металл,безободковая,бабочка,золотой,61.0,14.0,140.0,,,солнцезащитные,бабочка_металл_золотой,M_L_S,бабочка_металл_золотой_M_L_S
630-005,GENEX,мужские,пластик,безободковая,маска,черный,69.0,15.0,132.0,,,солнцезащитные,маска_пластик_черный,S_L_S,маска_пластик_черный_S_L_S
630-024,GENEX,мужские,пластик,безободковая,маска,черный,69.0,15.0,132.0,,,солнцезащитные,маска_пластик_черный,S_L_S,маска_пластик_черный_S_L_S
631-002,GENEX,мужские,пластик,ободковая,прямоугольные,черный,56.0,18.0,138.0,,,солнцезащитные,прямоугольные_пластик_черный,M_L_L,прямоугольные_пластик_черный_M_L_L
631-003,GENEX,мужские,пластик,ободковая,прямоугольные,синий,56.0,18.0,138.0,,,солнцезащитные,прямоугольные_пластик_синий,M_L_L,прямоугольные_пластик_синий_M_L_L
631-005,GENEX,мужские,пластик,ободковая,прямоугольные,коричневый,56.0,18.0,138.0,,,солнцезащитные,прямоугольные_пластик_коричневый,M_L_L,прямоугольные_пластик_коричневый_M_L_L
632-005,GENEX,мужские,пластик,ободковая,спортивные,черный,62.0,19.0,132.0,,,солнцезащитные,спортивные_пластик_черный,S_L_L,спортивные_пластик_черный_S_L_L
632-024,GENEX,мужские,пластик,ободковая,спортивные,черный,62.0,19.0,132.0,,,солнцезащитные,спортивные_пластик_черный,S_L_L,спортивные_пластик_черный_S_L_L
633-001,GENEX,мужские,пластик,ободковая,квадратные,черный,57.0,19.0,143.0,,,солнцезащитные,квадратные_пластик_черный,M_L_L,квадратные_пластик_черный_M_L_L
633-025,GENEX,мужские,пластик,ободковая,квадратные,черный,57.0,19.0,143.0,,,солнцезащитные,квадратные_пластик_черный,M_L_L,квадратные_пластик_черный_M_L_L
633-392,GENEX,мужские,пластик,ободковая,квадратные,коричневый,57.0,19.0,143.0,,,солнцезащитные,квадратные_пластик_коричневый,M_L_L,квадратные_пластик_коричневый_M_L_L
634-575,GENEX,универсальные,пластик,ободковая,квадратные,черный,56.0,18.0,143.0,,,солнцезащитные,квадратные_пластик_черный,M_L_L,квадратные_пластик_черный_M_L_L
635-002,GENEX,мужские,пластик,ободковая,прямоугольные,черный,58.0,18.0,138.0,,,солнцезащитные,прямоугольные_пластик_черный,M_L_L,прямоугольные_пластик_черный_M_L_L
635-005,GENEX,мужские,пластик,ободковая,прямоугольные,черный,58.0,18.0,138.0,,,солнцезащитные,прямоугольные_пластик_черный,M_L_L,прямоугольные_пластик_черный_M_L_L
636-003,GENEX,мужские,пластик,ободковая,прямоугольные,черный,55.0,20.0,143.0,,,солнцезащитные,прямоугольные_пластик_черный,M_L_L,прямоугольные_пластик_черный_M_L_L
636-005,GENEX,мужские,пластик,ободковая,прямоугольные,коричневый,55.0,20.0,143.0,,,солнцезащитные,прямоугольные_пластик_коричневый,M_L_L,прямоугольные_пластик_коричневый_M_L_L
636-575,GENEX,мужские,пластик,ободковая,прямоугольные,черный,55.0,20.0,143.0,,,солнцезащитные,прямоугольные_пластик_черный,M_L_L,прямоугольные_пластик_черный_M_L_L
637-601,GENEX,универсальные,пластик,ободковая,панто,темно-серый,47.0,24.0,151.0,,,солнцезащитные,панто_пластик_темно-серый,L_S_L,панто_пластик_темно-серый_L_S_L
637-604,GENEX,универсальные,пластик,ободковая,панто,оливковый,47.0,24.0,151.0,,,солнцезащитные,панто_пластик_оливковый,L_S_L,панто_пластик_оливковый_L_S_L
639-003,GENEX,мужские,пластик,ободковая,квадратные,синий,55.0,18.0,145.0,,,солнцезащитные,квадратные_пластик_синий,L_L_L,квадратные_пластик_синий_L_L_L
640-189,GENEX,женские,пластик,ободковая,круглые,коричневый,50.0,21.0,140.0,,,солнцезащитные,круглые_пластик_коричневый,M_M_L,круглые_пластик_коричневый_M_M_L
640-547,GENEX,женские,пластик,ободковая,круглые,черный,50.0,21.0,140.0,,,солнцезащитные,круглые_пластик_черный,M_M_L,круглые_пластик_черный_M_M_L
641-189,GENEX,женские,пластик,ободковая,бабочка,коричневый,55.0,18.0,150.0,,,солнцезащитные,бабочка_пластик_коричневый,L_L_L,бабочка_пластик_коричневый_L_L_L
642-001,GENEX,женские,пластик,ободковая,прямоугольные,черный,54.0,19.0,146.0,,,солнцезащитные,прямоугольные_пластик_черный,L_L_L,прямоугольные_пластик_черный_L_L_L
642-501,GENEX,женские,пластик,ободковая,прямоугольные,бирюзовый,54.0,19.0,146.0,,,солнцезащитные,прямоугольные_пластик_бирюзовый,L_L_L,прямоугольные_пластик_бирюзовый_L_L_L
643-001,GENEX,женские,пластик,ободковая,кошачий глаз,черный,53.0,18.0,142.0,,,солнцезащитные,кошачий глаз_пластик_черный,M_L_L,кошачий глаз_пластик_черный_M_L_L
644-001,GENEX,женские,пластик,ободковая,прямоугольные,черный,53.0,18.0,145.0,,,солнцезащитные,прямоугольные_пластик_черный,L_L_L,прямоугольные_пластик_черный_L_L_L
644-189,GENEX,женские,пластик,ободковая,прямоугольные,коричневый,53.0,18.0,145.0,,,солнцезащитные,прямоугольные_пластик_коричневый,L_L_L,прямоугольные_пластик_коричневый_L_L_L
645-108,GENEX,женские,пластик,ободковая,бабочка,черный,53.0,18.0,142.0,,,солнцезащитные,бабочка_пластик_черный,M_L_L,бабочка_пластик_черный_M_L_L
645-189,GENEX,женские,пластик,ободковая,бабочка,коричневый,53.0,18.0,142.0,,,солнцезащитные,бабочка_пластик_коричневый,M_L_L,бабочка_пластик_коричневый_M_L_L
645-405,GENEX,женские,пластик,ободковая,бабочка,бирюзовый,53.0,18.0,142.0,,,солнцезащитные,бабочка_пластик_бирюзовый,M_L_L,бабочка_пластик_бирюзовый_M_L_L
645-503,GENEX,женские,пластик,ободковая,бабочка,темно-серый,53.0,18.0,142.0,,,солнцезащитные,бабочка_пластик_темно-серый,M_L_L,бабочка_пластик_темно-серый_M_L_L
646-189,GENEX,женские,пластик,ободковая,прямоугольные,коричневый,54.0,18.0,189.0,,,солнцезащитные,прямоугольные_пластик_коричневый,L_L_L,прямоугольные_пластик_коричневый_L_L_L
647-104,GENEX,женские,пластик,ободковая,бабочка,серый,54.0,17.0,142.0,,,солнцезащитные,бабочка_пластик_серый,M_L_M,бабочка_пластик_серый_M_L_M
647-189,GENEX,женские,пластик,ободковая,бабочка,коричневый,54.0,17.0,142.0,,,солнцезащитные,бабочка_пластик_коричневый,M_L_M,бабочка_пластик_коричневый_M_L_M
647-604,GENEX,женские,пластик,ободковая,бабочка,оливковый,54.0,17.0,142.0,,,солнцезащитные,бабочка_пластик_оливковый,M_L_M,бабочка_пластик_оливковый_M_L_M
648-001,CAZAL,универсальные,металл и пластик,ободковая,квадратные,черный/золотой,56.0,25.0,145.0,,,солнцезащитные,квадратные_металл и пластик_черный/золотой,L_L_L,квадратные_металл и пластик_черный/золотой_L_L_L
648-003,CAZAL,универсальные,металл и пластик,ободковая,квадратные,золотой,56.0,25.0,145.0,,,солнцезащитные,квадратные_металл и пластик_золотой,L_L_L,квадратные_металл и пластик_золотой_L_L_L
648-082,GENEX,женские,пластик,ободковая,бабочка,серый,54.0,17.0,142.0,,,солнцезащитные,бабочка_пластик_серый,M_L_M,бабочка_пластик_серый_M_L_M
